scenario,seed,status,error,avg_waiting_time,avg_travel_time,avg_queue_length,p95_queue_length,completed_trips,throughput,gridlock_duration,gridlock_events,inference_latency_ms,cpu_percent,peak_memory_mb,total_departed,episode_time
normal,10007,completed,,20.664756446991404,126.20773638968481,0.06260416656732559,1.0,698,1396.0,0.0,0,0.3413,129.3,392.7,698,1800.0
normal,10008,completed,,21.078762306610408,128.0182841068917,0.0650477409362793,1.0,711,1422.0,0.0,0,0.3324,134.2,387.9,711,1800.0
normal,10009,completed,,20.5974025974026,126.16305916305916,0.06195312365889549,1.0,693,1386.0,0.0,0,0.3635,132.6,392.7,693,1800.0
normal,10010,completed,,19.260061919504643,122.91950464396285,0.054001737385988235,1.0,646,1292.0,0.0,0,0.5639,124.8,388.1,646,1800.0
normal,10011,completed,,21.208271787296898,128.8463810930576,0.062317706644535065,1.0,677,1354.0,0.0,0,0.7705,127.0,392.9,677,1800.0
normal,10012,completed,,19.541543026706233,123.76112759643917,0.05716579779982567,1.0,674,1348.0,0.0,0,0.4461,133.4,388.4,674,1800.0
normal,10013,completed,,21.408736349453978,127.63182527301092,0.059561632573604584,1.0,641,1282.0,0.0,0,0.3351,135.6,393.3,641,1800.0
normal,10014,completed,,21.29645390070922,125.20567375886525,0.06516493111848831,1.0,705,1410.0,0.0,0,0.4093,133.5,388.6,705,1800.0
normal,10015,completed,,19.21965317919075,124.88294797687861,0.0577256940305233,1.0,692,1384.0,0.0,0,0.3656,156.7,393.5,692,1800.0
normal,10016,completed,,18.97142857142857,122.45864661654136,0.05475694313645363,1.0,665,1330.0,0.0,0,0.331,141.2,383.7,665,1800.0
normal,10017,completed,,20.39136690647482,124.18273381294964,0.061510417610406876,1.0,695,1390.0,0.0,0,0.3793,130.5,383.6,695,1800.0
normal,10018,completed,,20.299300699300698,125.54545454545455,0.06299479305744171,1.0,715,1430.0,0.0,0,0.3736,128.7,387.1,715,1800.0
normal,10019,completed,,20.11566617862372,124.19180087847731,0.05963107571005821,1.0,683,1366.0,0.0,0,0.3741,156.5,387.8,683,1800.0
partial_tls_failure,10700,completed,,51.40928882438316,154.47307132459972,0.15373697876930237,1.0,687,1374.0,0.0,0,0.3819,133.4,387.7,689,1800.0
partial_tls_failure,10701,completed,,196.11676646706587,207.9626998223801,0.568602442741394,3.0,563,1126.0,0.0,0,0.3758,129.7,388.8,668,1800.0
partial_tls_failure,10702,completed,,144.26193921852388,173.24217462932455,0.4326605796813965,2.0,607,1214.0,0.0,0,0.4093,131.0,387.9,691,1800.0
partial_tls_failure,10703,completed,,119.21875,180.61935483870968,0.3477213680744171,2.0,620,1240.0,0.0,0,0.4549,128.3,389.0,672,1800.0
partial_tls_failure,10704,completed,,60.41106128550075,154.86535552193646,0.17541232705116272,1.0,661,1322.0,0.0,0,0.4157,131.0,383.7,669,1800.0
partial_tls_failure,10705,completed,,141.4942693409742,170.56013179571664,0.4286588430404663,2.0,607,1214.0,0.0,0,0.4314,126.6,384.1,698,1800.0
partial_tls_failure,10706,completed,,128.54172366621066,173.9225037257824,0.4078298509120941,2.0,671,1342.0,0.0,0,0.3096,130.6,387.0,731,1800.0
partial_tls_failure,10707,completed,,56.94736842105263,145.81146304675715,0.16906249523162842,1.0,663,1326.0,0.0,0,0.3035,128.0,388.3,684,1800.0
partial_tls_failure,10708,completed,,155.59018759018758,187.24,0.4679861068725586,4.0,625,1250.0,0.0,0,0.3028,131.4,387.1,693,1800.0
partial_tls_failure,10709,completed,,25.386996904024766,129.94736842105263,0.0711805522441864,1.0,646,1292.0,0.0,0,0.2976,137.7,388.4,646,1800.0
partial_tls_failure,10710,completed,,270.8215892053973,212.0082304526749,0.7840191125869751,5.0,486,972.0,0.0,0,0.4763,131.1,387.1,667,1800.0
partial_tls_failure,10711,completed,,65.92364170337738,148.64634146341464,0.19485242664813995,1.0,656,1312.0,0.0,0,0.4363,132.2,388.4,681,1800.0
partial_tls_failure,10712,completed,,23.252396166134186,126.99361022364218,0.06317708641290665,1.0,626,1252.0,0.0,0,0.302,137.6,388.9,626,1800.0
partial_tls_failure,10713,completed,,91.6242774566474,165.72865853658536,0.27519097924232483,2.0,656,1312.0,0.0,0,0.3215,130.5,387.7,692,1800.0
partial_tls_failure,10714,completed,,44.3946117274168,144.23756019261637,0.1215841993689537,1.0,623,1246.0,0.0,0,0.2971,134.2,389.0,631,1800.0
partial_tls_failure,10715,completed,,39.77151335311573,140.44760479041915,0.11634548753499985,1.0,668,1336.0,0.0,0,0.3063,129.9,387.9,674,1800.0
partial_tls_failure,10716,completed,,138.62518968133534,174.46391752577318,0.396501749753952,1.0,582,1164.0,0.0,0,0.3052,132.4,389.5,659,1800.0
partial_tls_failure,10717,completed,,65.20664739884393,153.89624060150376,0.1958463490009308,1.0,665,1330.0,0.0,0,0.2798,134.0,388.3,692,1800.0
partial_tls_failure,10718,completed,,89.43333333333334,151.248833592535,0.2678341865539551,1.0,643,1286.0,0.0,0,0.3451,133.1,389.6,690,1800.0
partial_tls_failure,10719,completed,,55.970542635658916,140.1632,0.1566883623600006,1.0,625,1250.0,0.0,0,0.3491,133.7,388.5,645,1800.0
road_closure,10400,completed,,27.610119047619047,133.2172619047619,0.08052951097488403,1.0,672,1344.0,0.0,0,0.2909,134.1,383.6,672,1800.0
road_closure,10401,completed,,27.9546875,134.2078125,0.07765191048383713,1.0,640,1280.0,0.0,0,0.4078,123.3,383.6,640,1800.0
road_closure,10402,completed,,26.385307346326837,132.40929535232385,0.07638455182313919,1.0,667,1334.0,0.0,0,0.345,137.3,386.8,667,1800.0
road_closure,10403,completed,,24.3026706231454,130.2833827893175,0.07109375298023224,1.0,674,1348.0,0.0,0,0.3131,136.8,387.8,674,1800.0
road_closure,10404,completed,,22.07645259938838,123.69724770642202,0.0626649335026741,1.0,654,1308.0,0.0,0,0.3437,137.6,386.9,654,1800.0
road_closure,10405,completed,,24.03719599427754,130.14306151645206,0.07292534410953522,1.0,699,1398.0,0.0,0,0.4579,132.6,387.9,699,1800.0
road_closure,10406,completed,,30.683309557774606,138.34950071326676,0.09335503727197647,1.0,701,1402.0,0.0,0,0.4121,135.3,386.9,701,1800.0
road_closure,10407,completed,,24.998552821997105,130.6946454413893,0.0749739557504654,1.0,691,1382.0,0.0,0,0.356,135.5,388.0,691,1800.0
road_closure,10408,completed,,27.175718849840255,132.1182108626198,0.0738368034362793,1.0,626,1252.0,0.0,0,0.3224,138.2,386.9,626,1800.0
road_closure,10409,completed,,21.523809523809526,128.51226551226551,0.06473958492279053,1.0,693,1386.0,0.0,0,0.3736,134.7,388.0,693,1800.0
road_closure,10410,completed,,23.120481927710845,127.98644578313252,0.06663194298744202,1.0,664,1328.0,0.0,0,0.3878,136.2,387.1,664,1800.0
