scenario,seed,avg_wait,avg_travel_time,avg_queue,p95_queue,completed_trips,throughput,gridlock_duration,gridlock_events,policy_inference_latency_ms,cpu_usage,peak_memory_mb,failed,incomplete,steps,gridlock_pct,fail_reason,spawned,final_vehicles
normal,1013,4.797415114678725,93.78840579710145,0.18159722222222222,1.0481944444444435,345,0.9583333333333334,0.0,0,0.011520252084867226,100.14833333333334,718.625,False,False,360,0.0,,482,137
normal,1014,4.076975821280106,85.01538461538462,0.14066840277777778,0.8972222222222216,325,0.9027777777777778,0.0,0,0.011034115019962579,98.96944444444445,718.63671875,False,False,360,0.0,,445,120
normal,1015,4.385266846669821,84.38855421686748,0.16197916666666667,0.9879166666666663,332,0.9222222222222223,0.0,0,0.010949878995031921,100.12388888888889,718.65234375,False,False,360,0.0,,450,118
normal,1016,4.5381989573518045,90.69669669669669,0.18385416666666668,1.0837499999999989,333,0.925,0.0,0,0.011852948682644637,99.68805555555555,718.6796875,False,False,360,0.0,,491,158
normal,1017,4.597639604081853,88.45845272206304,0.16766493055555556,1.0124999999999993,349,0.9694444444444444,0.0,0,0.010715024351763228,98.80416666666666,718.6953125,False,False,360,0.0,,459,110
normal,1018,4.533355118381353,87.77844311377245,0.16067708333333333,0.9313888888888883,334,0.9277777777777778,0.0,0,0.011011131603784937,100.10194444444444,718.69921875,False,False,360,0.0,,455,121
normal,1019,3.931203386872812,80.10397553516819,0.15486111111111112,0.9131944444444439,327,0.9083333333333333,0.0,0,0.012322152603398232,100.09722222222223,718.71484375,False,False,360,0.0,,469,142
high_demand,1000,5.703375300923255,89.13419913419914,0.42552083333333335,2.0390277777777763,693,1.925,0.0,0,0.013177164358542845,98.61638888888889,718.80859375,False,False,360,0.0,,959,266
high_demand,1001,5.630396422472877,90.93741307371349,0.4463107638888889,2.1118055555555544,719,1.9972222222222222,0.0,0,0.011345074431624703,100.28333333333333,718.84375,False,False,360,0.0,,1029,310
high_demand,1002,5.2725673416098,87.01390820584145,0.43506944444444445,2.0616666666666656,719,1.9972222222222222,0.0,0,0.01137960179120354,99.06611111111111,718.875,False,False,360,0.0,,1031,312
